"model_1";"model_2";"label";"cohen_kappa"
"test_set_mistral_annotated";"test_set_llama_annotated";"label_binary";"0.3691"
"test_set_mistral_annotated";"test_set_deepseek_annotated";"label_binary";"0.3727"
"test_set_llama_annotated";"test_set_deepseek_annotated";"label_binary";"0.2167"
"test_set_mistral_annotated";"test_set_llama_annotated";"label_component";"0.3311"
"test_set_mistral_annotated";"test_set_deepseek_annotated";"label_component";"0.3698"
"test_set_llama_annotated";"test_set_deepseek_annotated";"label_component";"0.2319"
