dataset;year;doi_url;variety;register;text_genre;primary_domain;topical_scope;domain_specificity;total_instances;total_tokens;unique_tokens;avg_instance_length;median_instance_length;theoretical_framework;granularity_level;component_types;task_framing;annotation_scheme_compatibility;granularity_match_with_target;iaa_metric;iaa_value;binary_argumentative_pct;binary_nonargumentative_pct;binary_balance_ratio;component_premise_pct;component_claim_pct;vocabulary_overlap;domain_similarity_tfidf;linguistic_distance_beto;domain_distance_beto;linguistic_distance_roberta;domain_distance_roberta;linguistic_distance_xlmr;domain_distance_xlmr;size_ratio_log;dialectal_distance
furman_2023;;;;;;;;;297;4542;1639;15.29;14.0;;;;;;;;;100.0;0.0;1.0;49.49;50.51;0.0125;0.4893;228398.6241;185239.8123;59006.3471;117608.3818;83249410805978.97;5212770153.1533;-1.1233;
gorrostieta_lopezlopez_2019;;;;;;;;;2285;77401;8702;33.87;26.0;;;;;;;;;70.98;29.02;2.446;65.35;34.65;0.0636;0.7481;2286522.1165;516422.7988;55398.4075;270530.3142;2.2744247838369668e+16;61525881889.622;0.1082;
guzman_monteza_2023;;;;;;;;;2875;69743;8453;24.26;23.0;;;;;;;;;47.51;52.49;1.105;0.0;0.0;0.0636;0.8346;11707.9059;9318.7942;49255.0784;8565.767;4010494050.8928;9134925.9589;0.063;
kovatchev_taule_2022;;;;;;;;;24932;507119;9503;20.34;18.0;;;;;;;;;78.56;21.44;3.664;53.26;46.74;0.068;0.8502;299804.1363;48939.5751;56540.7694;115537.2464;67328914606123.07;829025881.0601;0.9246;
ruizdolz_2021;;;;;;;;;5371;144717;8461;26.94;16.0;;;;;;;;;89.91;10.09;8.91;51.19;48.81;0.0581;0.7147;1220252.168;670937.2683;59776.7353;366963.6612;6841337333494758.0;45099346377.3084;0.38;
ruizdolz_2024;;;;;;;;;2995;66451;3819;22.19;21.0;;;;;;;;;100.0;0.0;1.0;44.37;55.63;0.032;0.5926;158168.1855;46387.467;67250.77;70979.5074;682318984534.8087;132396767.942;0.042;
segura_tinoco_2022;;;;;;;;;1561;33652;5430;21.56;19.0;;;;;;;;;100.0;0.0;1.0;38.76;61.24;0.0401;0.6986;554321.7719;372823.1965;77406.2255;206004.8651;974559601592799.1;5077722785.7109;-0.2535;
yeginbergen_2024;;;;;;;;;8648;233405;10183;26.99;25.0;;;;;;;;;47.58;52.42;1.102;66.78;33.22;0.0582;0.6529;558884.0502;108984.9584;55564.5134;151318.7016;899797413224907.6;3841737591.3293;0.5876;
